дхритараштрах увача  Z царь Дхритараштра сказал
 бхутва  Z став
 пранинам  Z живых существ
 дехам  Z в тело
 ашритах  Z вошедший
 прана  Z вдыхаемый воздух
 апана  Z и воздух, идущий вниз
 самайуктах  Z регулирующий
 пачами  Z перевариваю
 аннам  Z пищу
 чатух-видхам  Z четырех видов
сарвасйа  Z каждого (живого существа)
 ча  Z также
 ахам  Z Я
 хриди  Z в сердце
 саннивиштах  Z вошедший
 маттах  Z от Меня
 смритих  Z память
 джнанам  Z знание
 апоханам  Z забвение
 ча  Z и
 ведаих  Z Ведами
 ча  Z также
 сарваих  Z всеми
 ахам  Z Я
 эва  Z безусловно
 ведйах  Z то, что следует познавать
 веданта-крит  Z составитель «Веданты»
 веда-вит  Z знаток Вед
 эва  Z безусловно
 ча  Z и
 ахам  Z Я
двау  Z два
 имау  Z эти
 пурушау  Z живые существа
 локе  Z в мире
 кшарах  Z склонное к падению
 ча  Z и
 акшарах  Z непогрешимое
 эва  Z безусловно
 ча  Z и
 кшарах  Z бренное
 сарвани  Z все
 бхутани  Z живые существа
 кута-стхах  Z возвышенное
 акшарах  Z неизменное
 учйате  Z называется
уттамах  Z величайшая
 пурушах  Z личность
 ту  Z но
 анйах  Z другая
 парама  Z высшая
 Атма  Z душа
 ити  Z так
 удахритах  Z сказано
 йах  Z который
 лока  Z вселенной
 трайам  Z в три мира
 авишйа  Z войдя
 бибхарти  Z поддерживает
 авйайах  Z неисчерпаемый
 ишварах  Z Господь
йасмат  Z поскольку
 кшарам  Z изменчивое
 атитах  Z превосходящий
 ахам  Z Я
 акшарат  Z неизменное
 апи  Z также
 ча  Z и
 уттамах  Z лучший
 атах  Z поэтому
 асми  Z являюсь
 локе  Z в мире
 веде  Z в Ведах
 ча  Z и
 пратхитах  Z прославленный
 пуруша-уттамах  Z Верховная Личность Бога
йах  Z который
 мам  Z Меня
 эвам  Z так
 асаммудхах  Z не имеющий сомнений
 джанати  Z знает
 пуруша-уттамам  Z Верховную Личность Бога
 сах  Z тот
 сарва-вит  Z знающий все
 бхаджати  Z преданно служит
 мам  Z Мне
 сарва-бхавена  Z всем существом
 бхарата  Z о сын Бхараты
ити  Z так
 гухйа-тамам  Z самое сокровенное
 шастрам  Z богооткровенное писание
 идам  Z это
 уктам  Z поведано
 майа  Z Мной
 анагха  Z о безгрешный
 этат  Z это
 буддхва  Z поняв
 буддхи-ман  Z разумный
 сйат  Z станет
 крита-критйах  Z тот, кто достигает успеха в своих попытках
 ча  Z и
 бхарата  Z о сын Бхараты
шри-бхагаван увача  Z Верховный Господь сказал
 абхайам  Z бесстрашие
 саттва-самшуддхих  Z очищение своего бытия
 джнана  Z в знании
 йога  Z связи
 вйавастхитих  Z нахождение
 данам  Z благотворительность
 Дамах  Z владение умом
 ча  Z и
 йаджнах  Z жертвоприношение
 ча  Z и
 свадхйайах  Z изучение ведических писаний
 тапах  Z аскетизм
 арджавам  Z простота
 ахимса  Z неприменение насилия
 сатйам  Z правдивость
 акродхах  Z свобода от гнева
 тйагах  Z отречение от мира
 шантих  Z спокойствие
 апаишунам  Z нежелание искать недостатки
 дайа  Z милосердие
 бхутешу  Z во всех живых существах
 алолуптвам  Z свобода от жадности
 мардавам  Z мягкость
 хрих  Z скромность
 ачапалам  Z решимость
 теджах  Z энергичность
 кшама  Z способность прощать
 дхритих  Z стойкость
 шаучам  Z чистота
 адрохах  Z беззлобность
 на  Z не
 ати-манита  Z ожидание почестей
 бхаванти  Z являются
 сампадам  Z качества
 даивим  Z божественной природы
 абхиджатасйа  Z рожденного
 бхарата  Z о сын Бхараты
дамбхах  Z гордость
 дарпах  Z высокомерие
 абхиманах  Z тщеславие
 ча  Z и
 кродхах  Z гневливость
 парушйам  Z грубость
 эва  Z безусловно
 ча  Z и
 аджнанам  Z невежество
 ча  Z и
 абхиджатасйа  Z рожденного
 партха  Z о сын Притхи
 сампадам  Z для судьбы
 асурим  Z демонической
даиви  Z божественная
 сампат  Z природа
 вимокшайа  Z для спасения
 нибандхайа  Z для рабства
 асури  Z демоническая
 мата  Z считающаяся
 ма  Z не
 шучах  Z беспокойся
 сампадам  Z для судьбы
 даивим  Z трансцендентной
 абхиджатах  Z рожденный
 аси  Z являешься
 пандава  Z о сын Панду
двау  Z два
 бхута-саргау  Z (виды) сотворенных живых существ
 локе  Z в мире
 асмин  Z в этом
 даивах  Z праведный
 асурах  Z демонический
 эва  Z непременно
 ча  Z и
 даивах  Z божественный
 вистарашах  Z обстоятельно
 проктах  Z описан
 асурам  Z демона
 партха  Z о сын Притхи
 ме  Z от Меня
 шрину  Z послушай
правриттим  Z правильный поступок
 ча  Z также
 нивриттим  Z неправильный поступок
 ча  Z и
 джанах  Z люди
 на  Z не
 видух  Z знают
 асурах  Z те, чья природа демоническая
 на  Z не
 шаучам  Z чистота
 на  Z не
 апи  Z конечно
 ча  Z и
 ачарах  Z поведение
 на  Z не
 сатйам  Z правда
 тешу  Z в них
 видйате  Z существует
асатйам  Z нереальный
 апратиштхам  Z не имеющий основания
 те  Z они
 джагат  Z проявленный космос
 ахух  Z говорят
 анишварам  Z тот, которым никто не управляет
 апараспара  Z без причины
 самбхутам  Z возникший
 ким анйат  Z что, кроме
 кама-хаитукам  Z по причине вожделения
этам  Z подобный
 дриштим  Z взгляд
 аваштабхйа  Z приняв
 нашта  Z потерявшие
 атманах  Z самих себя
 алпа-буддхайах  Z недалекие
 прабхаванти  Z процветают
 угра-карманах  Z поглощенные пагубной деятельностью
 кшайайа  Z во имя разрушения
 джагатах  Z мира
 ахитах  Z сеющие зло
камам  Z вожделению
 ашритйа  Z предавшись
 душпурам  Z ненасытному
 дамбха  Z высокомерию
 мана  Z гордыней
 Мада-анвитах  Z опьяненные тщеславием
 мохат  Z из-за иллюзии
 грихитва  Z приняв
 асат  Z преходящие
 грахан  Z вещи
 правартанте  Z процветают
 ашучи  Z нечистое
 вратах  Z те, кто избрал
чинтам  Z страху и тревоге
 апаримейам  Z бесконечной
 ча  Z и
 пралайа-антам  Z заканчивающейся только со смертью
 упашритах  Z предавшиеся
 кама-упабхога  Z чувственные наслаждения
 парамах  Z те, главная цель жизни которых
 этават  Z поэтому
 ити  Z так
 нишчитах  Z убежденные
 аша-паша  Z сетей надежды
 шатаих  Z сотнями
 баддхах  Z связанные
 кама  Z от вожделения
 кродха  Z от гнева
 парайанах  Z те, чье настроение всегда зависит
 иханте  Z желают
 кама  Z вожделения
 Бхога  Z и чувственных удовольствий
 артхам  Z для
 анйайена  Z незаконным (способом)
 Артха  Z богатств
 санчайан  Z накопление
идам  Z это
 адйа  Z сегодня
 майа  Z мной
 лабдхам  Z получено
 имам  Z это
 прапсйе  Z получу
 манах-ратхам  Z желаемое
 идам  Z это
 асти  Z является
 идам  Z это
 апи  Z также
 ме  Z мое
 бхавишйати  Z станет (больше)
 пунах  Z вновь
 дханам  Z богатство
 асау  Z тот
 майа  Z мной
 хатах  Z убит
 шатрух  Z враг
 ханишйе  Z убью
 ча  Z также
 апаран  Z других
 апи  Z непременно
 ишварах  Z хозяин
 ахам  Z я
 ахам  Z я
 бхоги  Z наслаждающийся
 сиддхах  Z совершенный
 ахам  Z я
 бала-ван  Z могущественный
 сукхи  Z счастливый
 адхйах  Z богатый
 абхиджана-ван  Z в окружении знатных родственников
 асми  Z являюсь
 ках  Z кто
 анйах  Z другой
 асти  Z есть
 садришах  Z сравнимый
 майа  Z со мной
 йакшйе  Z буду приносить жертвы
 дасйами  Z буду раздавать пожертвования
 модишйе  Z буду радоваться и наслаждаться
 ити  Z так
 аджнана  Z невежеством
 вимохитах  Z обманутые
анека  Z многочисленными
 читта  Z тревогами
 вибхрантах  Z обеспокоенные
 моха  Z заблуждений
 джала  Z сетью
 самавритах  Z опутанные
 прасактах  Z привязанные
 кама-бхогешу  Z в чувственных удовольствиях
 патанти  Z падают
 нараке  Z в ад
 ашучау  Z нечистый
атма-самбхавитах  Z самодовольные
 стабдхах  Z наглые
 дхана-мана  Z богатством и почетом
 мада  Z в заблуждении
 анвитах  Z охваченные
 йаджанте  Z совершают жертвоприношения
 нама  Z только по названию
 йаджнаих  Z жертвоприношениями
 те  Z они
 дамбхена  Z гордостью
 авидхи-пурвакам  Z без всяких правил и предписаний
аханкарам  Z ложному эго
 балам  Z силе
 дарпам  Z гордыне
 камам  Z вожделению
 кродхам  Z гневу
 ча  Z также
 самшритах  Z предавшиеся
 мам  Z ко Мне
 атма  Z в их собственном
 пара  Z и в других
 дехешу  Z в телах
 прадвишантах  Z поносящие
 абхйасуйаках  Z завистливые
тан  Z тех
 ахам  Z Я
 двишатах  Z ненавидящих
 круран  Z злонравных
 самсарешу  Z в океан материальной жизни
 нара-адхаман  Z низших из людей
 кшипами  Z бросаю
 аджасрам  Z навеки
 ашубхан  Z лишенных блага
 асуришу  Z в демонические
 эва  Z непременно
 йонишу  Z в утробы
асурим  Z в демоническое
 йоним  Z лоно
 апаннах  Z попавшие
 мудхах  Z глупцы
 джанмани джанмани  Z жизнь за жизнью
 мам  Z Меня
 апрапйа  Z не достигнув
 эва  Z безусловно
 каунтейа  Z о сын Кунти
 татах  Z оттуда
 йанти  Z идут
 адхамам  Z к низшей
 гатим  Z к цели
три-видхам  Z включающие три вида
 наракасйа  Z ада
 идам  Z эти
 дварам  Z Врата
 нашанам  Z гибель
 атманах  Z души
 камах  Z вожделение
 кродхах  Z гнев
 татха  Z а также
 лобхах  Z жадность
 тасмат  Z поэтому
 этат  Z эти
 трайам  Z три
 тйаджет  Z да оставит
этаих  Z этими
 вимуктах  Z освобожденный
 каунтейа  Z о сын Кунти
 тамах-двараих  Z вратами невежества
 трибхих  Z тройственными
 нарах  Z человек
 ачарати  Z совершает
 атманах  Z души
 шрейах  Z благословение
 татах  Z затем
 йати  Z идет
 парам  Z к высшей
 гатим  Z цели
йах  Z который
 шастра-видхим  Z указания шастр
 утсриджйа  Z отвергнув
 вартате  Z существует
 кама-каратах  Z действующий по собственному усмотрению, побуждаемый вожделением
 на  Z не
 сах  Z тот
 сиддхим  Z совершенство
 авапноти  Z достигает
 на  Z не
 сукхам  Z счастье
 на  Z не
 парам  Z высшую
 гатим  Z ступень совершенства
тасмат  Z поэтому
 шастрам  Z священные писания
 праманам  Z свидетельство
 те  Z твоих
 карйа  Z долга
 акарйа  Z и запрещенных действий
 вйавастхитау  Z в определении
 джнатва  Z постигнув
 шастра  Z писаний
 видхана  Z соответствующую правилам
 уктам  Z описанную
 карма  Z деятельность
 картум  Z выполнять
 иха  Z здесь (в этом мире)
 архаси  Z заслуживаешь
арджунах увача  Z Aрджуна сказал
 йе  Z которые
 шастра-видхим  Z предписания шастр
 утсриджйа  Z отбросив
 йаджанте  Z поклоняются
 шраддхайа  Z твердой верой
 анвитах  Z наделенные
 тешам  Z их
 ништха  Z вера
 ту  Z но
 ка  Z какова
 кришна  Z о Кришна
 саттвам  Z благость
 ахо  Z или же
 раджах  Z страсть
 тамах  Z невежество
шри-бхагаван увача  Z Верховный Господь сказал
 три-видха  Z включающая три вида
 бхавати  Z становится
 шраддха  Z вера
 дехинам  Z воплощенных душ
 са  Z она
 сва-Бхава-джа  Z соответствующая той гуне материальной природы, под влиянием которой она находится
 саттвики  Z относящаяся к гуне благости
 раджаси  Z относящаяся к гуне страсти
 ча  Z также
 эва  Z безусловно
 тамаси  Z относящаяся к гуне невежества
 ча  Z и
 ити  Z таким образом
 там  Z ее
 шрину  Z услышь от Меня
Саттва-анурупа  Z соответствующая сущности
 сарвасйа  Z всего
 шраддха  Z вера
 бхавати  Z является
 бхарата  Z о сын Бхараты
 шраддха  Z веры
 майах  Z полное
 айам  Z это
 пурушах  Z живое существо
 йах  Z которое
 йат  Z какой
 шраддхах  Z (обладающий) верой
 сах  Z то
 эва  Z безусловно
 сах  Z оно
йаджанте  Z поклоняются
 саттвиках  Z те, кто в гуне благости
 деван  Z полубогам
 йакша-ракшамси  Z демонам
 раджасах  Z те, кто находится в гуне страсти
 претан  Z духам умерших
 бхута-ганан  Z привидениям
 ча  Z и
 анйе  Z другие
 йаджанте  Z поклоняются
 тамасах  Z те, кто в гуне невежества
 джанах  Z люди
ашастра  Z тем, о чем не сказано в писаниях
 вихитам  Z установленную
 гхорам  Z вредную для других
 тапйанте  Z совершают
 йе  Z которые
 тапах  Z аскезу
 джанах  Z люди
 дамбха  Z из гордости
 Аханкара  Z и эгоизма
 самйуктах  Z вовлеченные
 кама  Z вожделением
 рага  Z и привязанностью
 бала  Z силой
 анвитах  Z наделенные
 каршайантах  Z истязающие
 шарира-стхам  Z находящихся в теле
 бхута-грамам  Z совокупность материальных элементов
 ачетасах  Z обладающие ущербным разумом
 мам  Z Меня
 ча  Z также
 эва  Z безусловно
 антах  Z внутри
 шарира-стхам  Z находящегося в теле
 тан  Z тех
 виддхи  Z знай
 асура-нишчайан  Z демонов
ахарах  Z пища
 ту  Z же
 апи  Z также
 сарвасйа  Z каждого
 три-видхах  Z включающая три вида
 бхавати  Z является
 прийах  Z приятная
 йаджнах  Z жертвоприношение
 тапах  Z Аскеза
 татха  Z также
 данам  Z благотворительная деятельность
 тешам  Z их
 бхедам  Z различие
 имам  Z то
 шрину  Z слушай
айух  Z продолжительность жизни
 саттва  Z существование
 бала  Z силу
 арогйа  Z здоровье
 сукха  Z счастье
 прити  Z удовлетворение
 вивардханах  Z увеличивающие
 расйах  Z сочные
 снигдхах  Z богатые жирами
 стхирах  Z полезные
 хридйах  Z приятные сердцу
 ахарах  Z виды пищи
 саттвика  Z человеку в благости
 прийах  Z те, что нравятся
кату  Z горькие
 амла  Z кислые
 лавана  Z соленые
 ати-ушна  Z очень пряные
 тикшна  Z острые
 рукша  Z сухие
 видахинах  Z горячие
 ахарах  Z виды пищи
 раджасасйа  Z того, кто находится в гуне страсти
 иштах  Z нравящиеся
 духкха  Z горе
 шока  Z страдания
 амайа  Z болезни
 прадах  Z причиняющие
йата-йамам  Z приготовленная за три часа до еды
 гата-расам  Z безвкусная
 пути  Z дурно пахнущая
 парйушитам  Z старая
 ча  Z также
 йат  Z которая
 уччхиштам  Z оставшаяся после других
 апи  Z также
 ча  Z и
 амедхйам  Z нечистая
 бходжанам  Z еда
 тамаса  Z тому, кто находится в гуне тьмы
 прийам  Z нравящаяся
апхала-аканкшибхих  Z теми, кто не стремится к результатам
 йаджнах  Z жертвоприношение
 видхи-диштах  Z следующими указаниям священных писаний
 йах  Z которое
 иджйате  Z выполняется
 йаштавйам  Z предназначенный для жертвоприношения
 эва  Z безусловно
 ити  Z так
 манах  Z ум
 самадхайа  Z сосредоточив
 сах  Z тот
 саттвиках  Z находящийся в гуне благости
абхисандхайа  Z желая
 ту  Z но
 пхалам  Z результат
 дамбха  Z (для удовлетворения) гордыни
 артхам  Z предназначенное
 апи  Z также
 ча  Z и
 эва  Z безусловно
 йат  Z которое
 иджйате  Z совершается
 бхарата-шрештха  Z о лучший из Бхарат
 там  Z то
 йаджнам  Z жертвоприношение
 виддхи  Z знай
 раджасам  Z относящееся к гуне страсти
видхи-хинам  Z совершаемое вопреки указаниям писаний
 асришта-аннам  Z не сопровождаемое раздачей прасада
 мантра-хинам  Z то, при котором не исполняют ведические гимны
 адакшинам  Z без вознаграждения священнослужителей
 шраддха  Z веры
 вирахитам  Z лишенное
 йаджнам  Z жертвоприношение
 тамасам  Z относящимся к гуне невежества
 паричакшате  Z называют
дева  Z Верховному Господу
 двиджа  Z брахманам
 гуру  Z духовному учителю
 праджна  Z личности, достойной поклонения
 пуджанам  Z поклонение
 шаучам  Z чистота
 арджавам  Z прямота
 брахмачарйам  Z целомудрие
 ахимса  Z непричинение насилия
 ча  Z также
 шарирам  Z имеющий отношение к телу
 тапах  Z аскетизм
 учйате  Z считается
анудвега-карам  Z не вызывающая беспокойства
 вакйам  Z речь
 сатйам  Z правдивая
 прийа  Z для радости
 хитам  Z благоприятная
 ча  Z также
 йат  Z которая
 свадхйайа  Z изучением Вед
 абхйасанам  Z занятия
 ча  Z также
 эва  Z непременно
 вак-майам  Z относящаяся к речи
 тапах  Z аскеза
 учйате  Z называется
манах-прасадах  Z удовлетворенность на уровне ума
 саумйатвам  Z отсутствие двуличности
 маунам  Z сдержанность
 атма  Z себя
 виниграхах  Z контроль
 бхава  Z своей природы
 самшуддхих  Z очищение
 ити  Z таким образом
 этат  Z эта
 тапах  Z аскеза
 манасам  Z ума
 учйате  Z зовется
шраддхайа  Z с верой
 парайа  Z трансцендентной
 таптам  Z совершаемая
 тапах  Z аскеза
 тат  Z та
 три-видхам  Z включающая три вида
 нараих  Z людьми
 апхала-аканкшибхих  Z которые не стремятся к плодам своего труда
 йуктаих  Z практикующими
 саттвикам  Z относящаяся к гуне благости
 паричакшате  Z называют
Сат-кара  Z уважение
 мана  Z почет
 Пуджа  Z и поклонение
 артхам  Z та, цель которой
 тапах  Z аскеза
 дамбхена  Z гордостью
 ча  Z также
 эва  Z безусловно
 йат  Z которая
 крийате  Z совершается
 тат  Z та
 иха  Z здесь (в этом мире)
 проктам  Z называемая
 раджасам  Z относящаяся к гуне страсти
 чалам  Z неустойчивая
 адхрувам  Z непостоянная
мудха  Z в глупости
 грахена  Z с упорством
 атманах  Z себя
 йат  Z которая
 пидайа  Z с истязанием
 крийате  Z делается
 тапах  Z аскеза
 парасйа  Z другого
 утсадана-артхам  Z для того, чтобы погубить
 ва  Z или
 тат  Z та
 тамасам  Z относящаяся к гуне тьмы
 удахритам  Z считающаяся
датавйам  Z достойное того, чтобы дать
 ити  Z так
 йат  Z которое
 данам  Z пожертвование
 дийате  Z делается
 анупакарине  Z без желания получить что-либо взамен
 деше  Z в надлежащем месте
 кале  Z в надлежащее время
 ча  Z также
 патре  Z когда есть достойный человек
 ча  Z и
 тат  Z то
 данам  Z пожертвование
 саттвикам  Z относящееся к гуне благости
 смритам  Z считающееся
йат  Z которое
 ту  Z но
 прати-упакара-артхам  Z для того, чтобы получить что-либо взамен
 пхалам  Z результат
 уддишйа  Z пожелав
 ва  Z или
 пунах  Z вновь
 дийате  Z дается
 ча  Z также
 париклиштам  Z неохотно
 тат  Z то
 данам  Z пожертвование
 раджасам  Z относящееся к гуне страсти
 смритам  Z считающееся
адеша  Z в оскверненном месте
 кале  Z и в неблагоприятное время
 йат  Z которое
 данам  Z пожертвование
 апатребхйах  Z недостойным людям
 ча  Z также
 дийате  Z дается
 асат-критам  Z непочтительно
 аваджнатам  Z без должного внимания
 тат  Z то
 тамасам  Z относящееся к гуне тьмы
 удахритам  Z считающееся
ом  Z символ Всевышнего
 тат  Z то
 сат  Z вечное
 ити  Z так
 нирдешах  Z обозначение
 брахманах  Z Всевышнего
 три-видхах  Z состоящее из трех
 смритах  Z считающееся
 брахманах  Z Брахманы
 тена  Z с тем
 ведах  Z ведические писания
 ча  Z также
 йаджнах  Z жертвоприношения
 ча  Z также
 вихитах  Z использовавшиеся
 пура  Z раньше
тасмат  Z поэтому
 ом  Z (начиная с) ом
 ити  Z таким образом
 удахритйа  Z обозначив
 йаджна  Z жертвоприношений
 дана  Z пожертвований
 тапах  Z и аскезы
 крийах  Z деяния
 правартанте  Z начинаются
 видхана-уктах  Z соответствующие указаниям священных писаний
 сататам  Z всегда
 брахма-вадинам  Z людей, постигших природу духа
тат  Z то
 ити  Z так
 анабхисандхайа  Z не стремясь
 пхалам  Z плод
 йаджна  Z жертвоприношений
 тапах  Z и аскезы
 крийах  Z деяния
 дана  Z связанные с пожертвованиями
 крийах  Z деяния
 ча  Z также
 вивидхах  Z разнообразные
 крийанте  Z совершаются
 мокша-канкшибхих  Z теми, кто действительно стремится к освобождению
сат-бхаве  Z (когда имеется в виду) природа Всевышнего
 садху-бхаве  Z (когда имеется в виду) природа преданного
 ча  Z также
 сат  Z слово сат
 ити  Z таким образом
 этат  Z это
 прайуджйате  Z используется
 прашасте  Z в авторитетной
 кармани  Z деятельности
 татха  Z также
 сат-шабдах  Z звук сат
 партха  Z о сын Притхи
 йуджйате  Z используется
 йаджне  Z при совершении жертвоприношения
 тапаси  Z при совершении аскезы
 дане  Z в благотворительной деятельности
 ча  Z также
 стхитих  Z положение
 сат  Z Всевышний
 ити  Z таким образом
 ча  Z и
 учйате  Z произносится
 карма  Z деятельность
 ча  Z также
 эва  Z безусловно
 тат  Z для того
 артхийам  Z предназначенная
 сат  Z Всевышний
 ити  Z таким образом
 эва  Z безусловно
 абхидхийате  Z называется
ашраддхайа  Z с неверием
 хутам  Z принесение в жертву
 даттам  Z отданное
 тапах  Z аскеза
 таптам  Z исполненное
 критам  Z совершенное
 ча  Z также
 йат  Z которое
 асат  Z ложное
 ити  Z так
 учйате  Z называется
 партха  Z о сын Притхи
 на  Z не
 ча  Z также
 тат  Z то
 претйа  Z умерев
 на у  Z не
 иха  Z здесь (в этой жизни)
арджунах увача  Z Aрджуна сказал
 саннйасасйа  Z отречения от мира
 маха-бахо  Z о могучерукий
 таттвам  Z истину
 иччхами  Z я хочу
 ведитум  Z знать
 тйагасйа  Z отрешенности
 ча  Z также
 хришикеша  Z о повелитель чувств
 притхак  Z отдельно
 кеши-нишудана  Z о победитель демона Кеши
шри-бхагаван увача  Z Верховный Господь сказал
 камйанам  Z продиктованных желанием
 карманам  Z деяний
 нйасам  Z отвержение
 саннйасам  Z отречение от мира
 кавайах  Z ученые мудрецы
 видух  Z знают
 сарва  Z всякой
 карма  Z деятельности
 пхала  Z от результатов
 тйагам  Z отказ
 прахух  Z называют
 тйагам  Z отрешенностью
 вичакшанах  Z сведущие люди
тйаджйам  Z ту, которую следует отвергнуть
 доша-ват  Z как зло
 ити  Z так
 эке  Z одни
 карма  Z деятельность
 прахух  Z говорят
 манишинах  Z великие мудрецы
 йаджна  Z жертвоприношениями
 дана  Z с благотворительностью
 тапах  Z с аскезой
 карма  Z деятельность (связанная)
 на  Z не
 тйаджйам  Z то, от чего следует отказываться
 ити  Z так
 ча  Z и
 апаре  Z другие
нишчайам  Z несомненно
 шрину  Z услышь
 ме  Z от Меня
 татра  Z там
 тйаге  Z в том, что касается отрешенности
 бхарата-сат-тама  Z о лучший из Бхарат
 тйагах  Z отрешенность
 хи  Z ведь
 пуруша-вйагхра  Z о тигр среди людей
 три-видхах  Z (включающее) три вида
 сампракиртитах  Z провозглашаемое
йаджна  Z с жертвоприношениями
 дана  Z с благотворительностью
 тапах  Z с аскезой
 карма  Z деятельность (связанную)
 на  Z не
 тйаджйам  Z то, от чего следует отказываться
 карйам  Z то, что следует выполнять
 эва  Z обязательно
 тат  Z то
 йаджнах  Z жертвоприношение
 данам  Z благотворительная деятельность
 тапах  Z подвижничество
 ча  Z также
 эва  Z конечно
 паванани  Z (способы) очищения
 манишинам  Z великих душ
этани  Z эти
 апи  Z безусловно
 ту  Z но
 кармани  Z виды деятельности
 сангам  Z от общения
 тйактва  Z отвергнув
 пхалани  Z результаты
 ча  Z также
 картавйани  Z те, которые следует выполнять из чувства долга
 ити  Z так
 ме  Z Мое
 партха  Z о сын Притхи
 нишчитам  Z определенное
 матам  Z мнение
 уттамам  Z лучшее
нийатасйа  Z предписанного
 ту  Z но
 саннйасах  Z отвержение
 карманах  Z деяния
 на  Z не
 упападйате  Z является достойным
 мохат  Z из-за иллюзии
 тасйа  Z того
 паритйагах  Z отрешенность
 тамасах  Z относящаяся к гуне невежества
 парикиртитах  Z провозглашаемое
духкхам  Z несчастную
 ити  Z так
 эва  Z конечно
 йат  Z которую
 карма  Z деятельность
 кайа  Z для тела
 клеша  Z беспокойства
 бхайат  Z из страха
 тйаджет  Z (если) отвергнет
 сах  Z тот
 критва  Z сделав
 раджасам  Z относящееся к гуне страсти
 тйагам  Z отрешенность
 на  Z не
 эва  Z безусловно
 тйага  Z отрешенности
 пхалам  Z результат
 лабхет  Z обретет
карйам  Z та, которую следует исполнять
 ити  Z таким образом
 эва  Z действительно
 йат  Z которая
 карма  Z деятельность
 нийатам  Z как положено
 крийате  Z выполняется
 арджуна  Z о Aрджуна
 сангам  Z общение
 тйактва  Z отвергнув
 пхалам  Z результат
 ча  Z также
 эва  Z безусловно
 сах  Z это
 тйагах  Z отрешенность
 саттвиках  Z относящееся к гуне благости
 матах  Z по Моему мнению
на  Z не
 двешти  Z ненавидит
 акушалам  Z неблагоприятную
 карма  Z деятельность
 кушале  Z в благоприятной
 на  Z не
 анушаджджате  Z привязывается
 тйаги  Z тот, кто отрекся
 саттва  Z гуной благости
 самавиштах  Z поглощенный
 медхави  Z разумный
 чхинна  Z отсечены
 самшайах  Z тот, все сомнения которого
на  Z никогда не
 хи  Z безусловно
 деха-бхрита  Z воплощенным живым существом
 шакйам  Z способность
 тйактум  Z отвергнуть
 кармани  Z деяния
 ашешатах  Z полностью
 йах  Z который
 ту  Z но
 карма  Z труда
 пхала  Z от плодов
 тйаги  Z отрекшийся
 сах  Z он
 тйаги  Z отрекшийся
 ити  Z так
 абхидхийате  Z говорится
аништам  Z ведущий в ад
 иштам  Z ведущий на райские планеты
 мишрам  Z смешанный
 ча  Z и
 три-видхам  Z (включающий) три вида
 карманах  Z деятельности
 пхалам  Z результат
 бхавати  Z появляется
 атйагинам  Z тех, кто не отрекся
 претйа  Z после смерти
 на  Z не
 ту  Z но
 саннйасинам  Z тех, кто отрекся от мира
 квачит  Z когда бы то ни было
Панча  Z пять
 этани  Z эти
 маха-бахо  Z о могучерукий
 каранани  Z причины
 нибодха  Z узнай
 ме  Z от Меня
 санкхйе  Z в Веданте
 крита-анте  Z в заключение
 проктани  Z сказаны
 сиддхайе  Z для совершенства
 сарва  Z всех
 карманам  Z деяний
адхиштханам  Z место
 татха  Z также
 карта  Z исполнитель действия
 каранам  Z орудие
 ча  Z и
 притхак-видхам  Z бывающее различных видов
 вивидхах  Z разнообразные
 ча  Z и
 притхак  Z отдельно
 чештах  Z усилия
 даивам  Z Всевышний
 ча  Z также
 эва  Z безусловно
 атра  Z здесь
 панчамам  Z пятый
шарира  Z телом
 вак  Z речью
 манобхих  Z и умом
 йат  Z которое
 карма  Z действие
 прарабхате  Z начинает
 нарах  Z человек
 нйаййам  Z правильное
 ва  Z или
 випаритам  Z противоположное
 ва  Z или
 панча  Z пять
 эте  Z эти
 тасйа  Z его
 хетавах  Z причины
татра  Z там
 эвам  Z так
 сати  Z будучи
 картарам  Z исполнителя
 атманам  Z себя
 кевалам  Z единственного
 ту  Z но
 йах  Z который
 пашйати  Z видит
 акрита-буддхитват  Z из-за недостатка разума
 на  Z не
 сах  Z он
 пашйати  Z видит
 дурматих  Z глупец
йасйа  Z которого
 на  Z не
 аханкритах  Z ложного эго
 бхавах  Z природа
 буддхих  Z разум
 йасйа  Z которого
 на  Z не
 липйате  Z привязан
 хатва  Z убив
 апи  Z даже
 сах  Z он
 иман  Z эти
 локан  Z миры
 на  Z не
 ханти  Z убивает
 на  Z не
 нибадхйате  Z запутывается
джнанам  Z знание
 джнейам  Z цель познания
 париджната  Z познающий
 три-видха  Z (включающее) три вида
 карма  Z к деятельности
 чодана  Z побуждение
 каранам  Z чувства
 карма  Z деяния
 карта  Z исполнитель
 ити  Z так
 три-видхах  Z (включающая) три вида
 карма  Z деятельности
 санграхах  Z совокупность
джнанам  Z знание
 карма  Z деятельность
 ча  Z также
 карта  Z исполнитель
 ча  Z также
 тридха  Z натрое
 эва  Z безусловно
 гуна-бхедатах  Z в соответствии с разными гунами материальной природы
 прочйате  Z говорится
 гуна-санкхйане  Z в связи с различными гунами
 йатха-ват  Z как есть
 шрину  Z выслушай
 тани  Z их
 апи  Z также
сарва-бхутешу  Z во всех живых существах
 йена  Z которым
 экам  Z одну
 бхавам  Z природу
 авйайам  Z вечную
 икшате  Z видит
 авибхактам  Z неделимую
 вибхактешу  Z в бесчисленных индивидуальных
 тат  Z то
 джнанам  Z знание
 виддхи  Z знай
 саттвикам  Z относящееся к гуне благости
